Input_English,Target_Khmer,Predicted_Khmer,Word_Acc,Char_Acc,F1,CER
kroyov,ក្រយៅ,ក្រយៅ,1,1.0,1.0,0.0
reae,រ៉ែៗ,រែ,0,0.5,0.6666666666666666,0.5
pyeathi,ព្យាធិ,ព្យាធិ,1,1.0,1.0,0.0
bampom,បំពម,បំពំ,0,0.75,0.75,0.25
brayur,ប្រយូរ,ប្រយុរ,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
brosob,ប្រសប់,ប្រសប់,1,1.0,1.0,0.0
india,ឥណ្ឌា,ឥណ្ឌា,1,1.0,1.0,0.0
komarey,កុមារី,កម្អាយរ,0,0.2857142857142857,0.6153846153846153,0.8333333333333334
thmea,ធ្មា,ធ្មា,1,1.0,1.0,0.0
banhcheabapeakyar,បញ្ជាប់ពាក្យ,បញ្ជាបារសាតា,0,0.5,0.5833333333333334,0.5
brophab,ប្រផាប់,ប្រផាប់,1,1.0,1.0,0.0
komareanukrus,កុមារានុគ្រោះ,កម្រាន់គ្រាស,0,0.6153846153846154,0.7199999999999999,0.38461538461538464
rotna,រត្នា,រត្នា,1,1.0,1.0,0.0
meatekanukrom,មាតិកានុក្រម,មាតិកានកម្រុ,0,0.75,1.0,0.25
sromonosokde,ស្រមណសក្ដិ,ស្រមណសុក្ដិ,0,0.9090909090909091,0.9523809523809523,0.1
uboyouk,ឧបយោគ,ឧបយោគ,1,1.0,1.0,0.0
duol,ដួល,ដួល,1,1.0,1.0,0.0
dieb,ដៀប,ដៀប,1,1.0,1.0,0.0
korkaos,កកោស,កកោស,1,1.0,1.0,0.0
loupheak,លោភៈ,លោភិក,0,0.6,0.6666666666666665,0.5
saropau,សារពើ,សរពោ,0,0.6,0.6666666666666665,0.4
chaorblan,ចោរប្លន់,ចោរបាលាន,0,0.625,0.75,0.375
aayonokal,អយនកាល,អយនកាល,1,1.0,1.0,0.0
sloekkrei,ស្លឹកគ្រៃ,ស្លឹកក្អិក,0,0.6,0.631578947368421,0.4444444444444444
