Input_Khmer,Target_English,Predicted_English,Word_Acc,Char_Acc,F1,CER
ក្រយៅ,kroyov,krov,0,0.6666666666666667,0.8,0.3333333333333333
រ៉ែៗ,reae,reaeaeaeaeaeaeaeaeaeaeaea,0,0.16000000000000003,0.2758620689655173,5.25
ព្យាធិ,pyeathi,pea,0,0.4285714285714286,0.6,0.5714285714285714
បំពម,bampom,bampompompompompompompomp,0,0.24,0.3870967741935484,3.1666666666666665
ប្រយូរ,brayur,brourourourourourourourou,0,0.16000000000000003,0.25806451612903225,3.5
ប្រសប់,brosob,b,0,0.16666666666666663,0.2857142857142857,0.8333333333333334
ឥណ្ឌា,india,inda,0,0.8,0.888888888888889,0.2
កុមារី,komarey,meameameameameameameameam,0,0.12,0.1875,3.142857142857143
ធ្មា,thmea,m,0,0.19999999999999996,0.33333333333333337,0.8
បញ្ជាប់ពាក្យ,banhcheabapeakyar,babababababababababababab,0,0.28,0.3333333333333333,1.0588235294117647
ប្រផាប់,brophab,b,0,0.1428571428571429,0.25,0.8571428571428571
កុមារានុគ្រោះ,komareanukrus,kruh,0,0.23076923076923073,0.3529411764705882,0.7692307692307693
រត្នា,rotna,treantreantreantreantrean,0,0.16000000000000003,0.26666666666666666,4.2
មាតិកានុក្រម,meatekanukrom,mmmmmmmmmmmmmmmmmmmmmmmmm,0,0.07999999999999996,0.10526315789473685,1.7692307692307692
ស្រមណសក្ដិ,sromonosokde,sor,0,0.16666666666666663,0.4,0.8333333333333334
ឧបយោគ,uboyouk,ubayoyoyoyoyoyoyoyoyoyoyo,0,0.19999999999999996,0.3125,2.857142857142857
ដួល,duol,duol,1,1.0,1.0,0.0
ដៀប,dieb,dieb,1,1.0,1.0,0.0
កកោស,korkaos,k,0,0.1428571428571429,0.25,0.8571428571428571
លោភៈ,loupheak,phouphouphouphouphouphoup,0,0.16000000000000003,0.24242424242424243,2.625
សារពើ,saropau,sapeapeapeapeapeapeapeape,0,0.16000000000000003,0.25,3.0
ចោរប្លន់,chaorblan,brouchouchouchouchouchouc,0,0.12,0.29411764705882354,2.4444444444444446
អយនកាល,aayonokal,anononononononononononono,0,0.16000000000000003,0.23529411764705882,2.3333333333333335
ស្លឹកគ្រៃ,sloekkrei,kroekroekroekroekroekroek,0,0.24,0.3529411764705882,2.111111111111111
សារភាព,sarpheap,p,0,0.125,0.2222222222222222,0.875
លោទ,lout,toul,0,0.5,1.0,0.5
