Input_Khmer,Target_English,Predicted_English,Word_Acc,Char_Acc,F1,CER
ក្រយៅ,kroyov,kroyov,1,1.0,1.0,0.0
រ៉ែៗ,reae,reae,1,1.0,1.0,0.0
ព្យាធិ,pyeathi,pyeath,0,0.8571428571428572,0.923076923076923,0.14285714285714285
បំពម,bampom,bampom,1,1.0,1.0,0.0
ប្រយូរ,brayur,broyor,0,0.6666666666666667,0.6666666666666666,0.3333333333333333
ប្រសប់,brosob,brosob,1,1.0,1.0,0.0
ឥណ្ឌា,india,indea,0,0.8,0.8000000000000002,0.2
កុមារី,komarey,komeari,0,0.5714285714285714,0.8571428571428571,0.42857142857142855
ធ្មា,thmea,thmea,1,1.0,1.0,0.0
បញ្ជាប់ពាក្យ,banhcheabapeakyar,banhcheapopeak,0,0.7058823529411764,0.7741935483870968,0.29411764705882354
ប្រផាប់,brophab,brophab,1,1.0,1.0,0.0
កុមារានុគ្រោះ,komareanukrus,komearonosaek,0,0.3846153846153846,0.7692307692307693,0.6153846153846154
រត្នា,rotna,rotna,1,1.0,1.0,0.0
មាតិកានុក្រម,meatekanukrom,meatekakomnea,0,0.5384615384615384,0.8461538461538461,0.46153846153846156
ស្រមណសក្ដិ,sromonosokde,sramorovocheasei,0,0.4375,0.5714285714285715,0.75
ឧបយោគ,uboyouk,ubayouk,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ដួល,duol,duol,1,1.0,1.0,0.0
ដៀប,dieb,dieb,1,1.0,1.0,0.0
កកោស,korkaos,korkaoh,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
លោភៈ,loupheak,loupheak,1,1.0,1.0,0.0
សារពើ,saropau,sarpau,0,0.8571428571428572,0.923076923076923,0.14285714285714285
ចោរប្លន់,chaorblan,chaobrolean,0,0.7272727272727273,0.9,0.3333333333333333
អយនកាល,aayonokal,aoyonokal,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
ស្លឹកគ្រៃ,sloekkrei,slekrokiy,0,0.4444444444444444,0.8888888888888888,0.5555555555555556
សារភាព,sarpheap,sarpheap,1,1.0,1.0,0.0
លោទ,lout,lout,1,1.0,1.0,0.0
